index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
27,IR_ORGANOCHLORINE_PRESENCE,Organochlorine resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4559,PUBLISHED,Published,,2002.0,2002,,AFR,Africa,,NGA,2002,2002,Nigeria,,Yes,,,,,,
28,IR_ORGANOCHLORINE_PRESENCE,Organochlorine resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4559,PUBLISHED,Published,,2004.0,2004,,AFR,Africa,,NGA,2004,2004,Nigeria,,Yes,,,,,,
29,IR_PYRETHROID_PRESENCE,Pyrethroid resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4558,PUBLISHED,Published,,2000.0,2000,,AFR,Africa,,NGA,2000,2000,Nigeria,,Not tested/reported,,,,,,
30,IR_PYRETHROID_PRESENCE,Pyrethroid resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4558,PUBLISHED,Published,,2011.0,2011,,AFR,Africa,,NGA,2011,2011,Nigeria,,Not tested/reported,,,,,,
31,IR_ORGANOCHLORINE_PRESENCE,Organochlorine resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4559,PUBLISHED,Published,,2007.0,2007,,AFR,Africa,,NGA,2007,2007,Nigeria,,Not tested/reported,,,,,,
32,IR_PYRETHROID_PRESENCE,Pyrethroid resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4558,PUBLISHED,Published,,2008.0,2008,,AFR,Africa,,NGA,2008,2008,Nigeria,,Not tested/reported,,,,,,
33,IR_ORGANOCHLORINE_PRESENCE,Organochlorine resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4559,PUBLISHED,Published,,2011.0,2011,,AFR,Africa,,NGA,2011,2011,Nigeria,,Not tested/reported,,,,,,
34,IR_PYRETHROID_PRESENCE,Pyrethroid resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4558,PUBLISHED,Published,,2005.0,2005,,AFR,Africa,,NGA,2005,2005,Nigeria,,Yes,,,,,,
35,IR_PYRETHROID_PRESENCE,Pyrethroid resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4558,PUBLISHED,Published,,2006.0,2006,,AFR,Africa,,NGA,2006,2006,Nigeria,,Yes,,,,,,
36,IR_ORGANOCHLORINE_PRESENCE,Organochlorine resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4559,PUBLISHED,Published,,2001.0,2001,,AFR,Africa,,NGA,2001,2001,Nigeria,,Yes,,,,,,
