index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,#indicator+value+num,,,,,
1,DEVICES12,Total density per million population: Linear Accelerator,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3003,PUBLISHED,Published,,2010.0,2010,,AFR,Africa,,NGA,2010,2010,Nigeria,,0.04,0.04000,,,,,from the DIRA IAEA radiotherapy database (data available online at: http://www-naweb.iaea.org/nahu/dirac/query3.asp)
2,DEVICES21,Total density per million population: Telecobalt Unit,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3004,PUBLISHED,Published,,2010.0,2010,,AFR,Africa,,NGA,2010,2010,Nigeria,,0.03,0.03000,,,,,from the DIRA IAEA radiotherapy database (data available online at: http://www-naweb.iaea.org/nahu/dirac/query3.asp)
3,DEVICES22,Total density per million population: Radiotherapy units,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2441,PUBLISHED,Published,,2010.0,2010,,AFR,Africa,,NGA,2010,2010,Nigeria,,0.08,0.08000,,,,,from the DIRA IAEA radiotherapy database (data available online at: http://www-naweb.iaea.org/nahu/dirac/query3.asp)
4,DEVICES22,Total density per million population: Radiotherapy units,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2441,PUBLISHED,Published,,2013.0,2013,,AFR,Africa,,NGA,2013,2013,Nigeria,,0.07,0.07488,,,,,"Data from <a href=""http://www-naweb.iaea.org/nahu/dirac/query3.asp"" target=""_blank"">DIRA IAEA radiotherapy database</a>, accessed on February 2014"
5,DEVICES12,Total density per million population: Linear Accelerator,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3003,PUBLISHED,Published,,2013.0,2013,,AFR,Africa,,NGA,2013,2013,Nigeria,,0.05,0.04608,,,,,"Data from <a href=""http://www-naweb.iaea.org/nahu/dirac/query3.asp"" target=""_blank"">DIRA IAEA radiotherapy database</a>, accessed on February 2014"
6,DEVICES21,Total density per million population: Telecobalt Unit,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3004,PUBLISHED,Published,,2013.0,2013,,AFR,Africa,,NGA,2013,2013,Nigeria,,0.03,0.02880,,,,,"Data from <a href=""http://www-naweb.iaea.org/nahu/dirac/query3.asp"" target=""_blank"">DIRA IAEA radiotherapy database</a>, accessed on February 2014"
