index,GHO (CODE),ENDYEAR,COUNTRY (CODE),SEX (DISPLAY),Numeric
176,WHOSIS_000001,2003,NGA,Both sexes,48.26197
177,WHOSIS_000001,2004,NGA,Both sexes,48.79860
178,WHOSIS_000001,2005,NGA,Both sexes,49.52652
179,WHOSIS_000001,2000,NGA,Male,46.90524
180,WHOSIS_000001,2002,NGA,Male,47.52996
181,WHOSIS_000001,2009,NGA,Male,51.63389
182,WHOSIS_000001,2011,NGA,Male,52.51550
183,WHOSIS_000001,2000,NGA,Female,47.79913
184,WHOSIS_000001,2002,NGA,Female,48.27586
185,WHOSIS_000001,2007,NGA,Female,51.14608
186,WHOSIS_000001,2009,NGA,Female,52.15522
187,WHOSIS_000001,2016,NGA,Female,55.71206
188,WHOSIS_000001,2000,NGA,Both sexes,47.34940
189,WHOSIS_000001,2007,NGA,Both sexes,50.88226
190,WHOSIS_000001,2009,NGA,Both sexes,51.89859
191,WHOSIS_000001,2014,NGA,Both sexes,54.30885
192,WHOSIS_000001,2016,NGA,Both sexes,55.19205
193,WHOSIS_000001,2012,NGA,Male,52.96281
194,WHOSIS_000001,2013,NGA,Male,53.40731
195,WHOSIS_000001,2014,NGA,Male,53.77731
196,WHOSIS_000001,2015,NGA,Male,54.26228
197,WHOSIS_000001,2016,NGA,Male,54.67828
198,WHOSIS_000001,2011,NGA,Female,53.03621
199,WHOSIS_000001,2012,NGA,Female,53.51871
200,WHOSIS_000001,2013,NGA,Female,54.20314
201,WHOSIS_000001,2014,NGA,Female,54.84782
202,WHOSIS_000001,2010,NGA,Both sexes,52.36585
203,WHOSIS_000001,2011,NGA,Both sexes,52.77993
204,WHOSIS_000001,2012,NGA,Both sexes,53.24439
205,WHOSIS_000001,2013,NGA,Both sexes,53.80577
206,WHOSIS_000001,2001,NGA,Male,47.18024
207,WHOSIS_000001,2003,NGA,Male,47.91391
208,WHOSIS_000001,2008,NGA,Male,51.08654
209,WHOSIS_000001,2010,NGA,Male,52.10809
210,WHOSIS_000001,2001,NGA,Female,48.02102
211,WHOSIS_000001,2008,NGA,Female,51.60806
212,WHOSIS_000001,2010,NGA,Female,52.61499
213,WHOSIS_000001,2015,NGA,Female,55.31094
214,WHOSIS_000001,2006,NGA,Both sexes,50.22107
215,WHOSIS_000001,2008,NGA,Both sexes,51.35106
216,WHOSIS_000001,2015,NGA,Both sexes,54.78326
217,WHS7_104,1995,NGA,,8.95431
218,WHS7_104,1996,NGA,,11.10980
219,WHS7_104,1997,NGA,,13.44626
220,WHS7_104,1998,NGA,,16.05446
221,WHS7_104,1999,NGA,,4.73522
222,WHS7_104,2000,NGA,,5.76253
223,WHS7_104,2001,NGA,,5.73212
224,WHS7_104,2002,NGA,,4.57499
225,WHS7_104,2003,NGA,,8.62601
226,WHS7_104,2004,NGA,,14.69121
227,WHS7_104,2005,NGA,,15.48483
228,WHS7_104,2006,NGA,,20.09883
229,WHS7_104,2007,NGA,,26.78822
230,WHS7_104,2008,NGA,,32.54814
231,WHS7_104,2009,NGA,,23.26055
232,WHS7_104,2010,NGA,,21.03331
233,WHS7_104,2011,NGA,,29.11857
234,WHS7_104,2012,NGA,,28.30719
235,WHS7_104,2013,NGA,,26.30091
236,WHS7_104,2014,NGA,,29.55105
